protocol,connection_time,latency_avg,latency_min,latency_max,latency_mdev,packet_loss,jitter,throughput,file_transfer_time,cpu_usage_h1,mem_usage_h1,cpu_usage_h2,mem_usage_h2
L2TP,4.5066914558410645,66.82500000000002,61.5,88.9,5.9211379818409915,0.0,6.447368421052633,,0.13596415519714355,3.6,47.21,3.3,47.21
PPTP,3.646806001663208,71.21000000000001,62.2,99.6,10.38950913181176,0.0,12.968421052631578,,0.1291654109954834,3.8,47.26,2.7,47.26
L2TP,3.1044952869415283,64.26500000000001,60.8,72.3,2.6348197281787615,0.0,2.2578947368421063,,0.13509106636047363,4.0,47.26,4.9,47.26
PPTP,4.384089946746826,68.37500000000001,61.5,80.1,4.939622961320023,0.0,5.863157894736842,,0.12718605995178223,3.3,47.28,3.0,47.31
L2TP,3.7349400520324707,65.96000000000001,61.5,72.3,3.2325531704830457,0.0,3.1999999999999984,,0.1291649341583252,2.3,47.33,2.5,47.33
PPTP,3.2073240280151367,64.53000000000002,61.5,74.5,2.9077654650951485,0.0,2.8842105263157913,,0.13113045692443848,2.5,47.38,2.0,47.36
L2TP,4.099433183670044,67.80499999999998,61.5,83.0,6.39096823650376,0.0,8.336842105263157,,0.12857556343078613,3.8,47.13,2.7,47.13
PPTP,4.84990119934082,66.035,61.8,80.1,5.3105814182629745,0.0,4.178947368421053,,0.14189863204956055,3.3,47.18,2.8,47.18
L2TP,3.233365297317505,63.875,61.5,68.3,1.7812565789352202,0.0,1.921052631578949,,0.14083147048950195,2.8,47.21,3.3,47.23
PPTP,3.463632106781006,67.57000000000001,61.5,78.7,4.548197445142416,0.0,4.705263157894734,,0.13106513023376465,3.4,47.26,3.5,47.26
L2TP,3.81026029586792,66.20000000000002,60.8,85.9,6.405700586196644,0.0,7.063157894736846,,0.1349484920501709,3.5,47.33,3.5,47.33
PPTP,3.225745677947998,66.535,60.9,78.1,4.827450155102586,0.0,4.178947368421051,,0.13947534561157227,3.3,47.33,3.0,47.33
L2TP,3.5328378677368164,63.645,61.8,66.4,1.4722346959639299,0.0,1.0684210526315807,,0.13403558731079102,2.7,47.36,2.3,47.33
